source_feed_id,source_feed_folder,service_id,date,exception_type,original_service_id
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,20260429,2,f-weekday
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,20260503,2,f-weekday
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,20260504,2,f-weekday
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,20260505,2,f-weekday
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,20260506,2,f-weekday
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,20260720,2,f-weekday
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,20260811,2,f-weekday
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,20260921,2,f-weekday
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,20260922,2,f-weekday
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,20260923,2,f-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20260720,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20260811,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20260921,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20260922,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20260923,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20261012,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20261103,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20261123,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20261229,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20261230,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20261231,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20270101,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20270102,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20270103,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20270111,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20270211,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20270223,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20270321,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20270322,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20270429,2,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,20270503,2,t-weekday
